,gene,correlation,p-value,systematic_names,p-value adj,function,sense function
255,SPAC1420.01c,-0.5226552646959304,2.5688946769488358e-05,SPAC1420.01c,0.06103941090074469,GATA-like domain protein,GATA-like domain protein
4631,inv1,0.5174259435848535,3.193810185171676e-05,SPCC191.11,0.06103941090074469,"external invertase, beta-fructofuranosidase Inv1","external invertase, beta-fructofuranosidase Inv1"
5860,SPNCRNA.1626,-0.5134270509705006,3.763405735979033e-05,SPNCRNA.1626,0.06103941090074469,antisense RNA (predicted),antisense RNA (predicted)
1186,SPAC26A3.11,0.5117659724999231,4.026472675798271e-05,SPAC26A3.11,0.06103941090074469,mitochondrial omega-amidase,mitochondrial omega-amidase
3233,cox20,0.5040757943953982,5.48034028441696e-05,SPBC25H2.18,0.06103941090074469,cytochrome c oxidase assembly protein Cox20,cytochrome c oxidase assembly protein Cox20
4795,tip41,0.5038297086960535,5.53399754283209e-05,SPCC4B3.16,0.06103941090074469,TIP41 type 2a phosphatase regulator Tip41,TIP41 type 2a phosphatase regulator Tip41
1693,chz1,-0.5000153803562091,6.430035760800795e-05,SPAC4G9.06c,0.06103941090074469,histone H2A-H2B dimer chaperone Chz1,histone H2A-H2B dimer chaperone Chz1
2975,saf4,-0.4965086591405458,7.36976614593388e-05,SPBC18H10.10c,0.061215120049663285,splicing associated factor Saf4,splicing associated factor Saf4
4307,chk1,-0.4861115383432282,0.00010948576564910062,SPCC1259.13,0.08083699030425263,Chk1 protein kinase,Chk1 protein kinase
5052,SPCC777.17c,0.47663723891845333,0.000155334162701826,SPCC777.17c,0.09628360950302234,mitochondrial ribosomal protein subunit L9,mitochondrial ribosomal protein subunit L9
791,rho1,0.46907010366360086,0.00020391718242498876,SPAC1F7.04,0.09628360950302234,Rho family GTPase Rho1,Rho family GTPase Rho1
2508,meu14,0.46845488941523894,0.00020842136891667962,SPBC1347.03,0.09628360950302234,sporulation specific PIL domain protein Meu14,sporulation specific PIL domain protein Meu14
152,pho86,0.4683933679904027,0.0002088767496492216,SPAC12B10.02c,0.09628360950302234,ER resident protein acetylase Pho86,ER resident protein acetylase Pho86
5019,ppn1,-0.4658709895721185,0.00022834867877539593,SPCC74.02c,0.09628360950302234,mRNA cleavage and polyadenylation specificity f...,mRNA cleavage and polyadenylation specificity f...
519,ssr1,-0.4655018610231013,0.00023133324804071843,SPAC17G6.10,0.09628360950302234,SWI/SNF and RSC complex subunit Ssr1,SWI/SNF and RSC complex subunit Ssr1
203,pre9,0.4654403395982652,0.00023183412370930887,SPAC13C5.01c,0.09628360950302234,20S proteasome complex subunit alpha 3 Pre9,20S proteasome complex subunit alpha 3 Pre9
4219,dps1,-0.46297948260481714,0.0002526996053217202,SPBPJ4664.01,0.09877581631546063,decaprenyl diphosphate synthase subunit Dps1,decaprenyl diphosphate synthase subunit Dps1
2108,SPAC9.06c,0.4588575471407918,0.0002915184108883947,SPAC9.06c,0.10325877436126006,"5'-methylthioribulose-1-phosphate dehydratase, ...","5'-methylthioribulose-1-phosphate dehydratase, ..."
2650,srb7,0.4584884185917746,0.0002952470598741823,SPBC1604.10,0.10325877436126006,mediator complex subunit Med21,mediator complex subunit Med21
4518,hrr1,-0.4557814758989818,0.0003239459101193311,SPCC1739.03,0.10726107912538581,RNAi-mediated heterochromatin assembly helicase...,RNAi-mediated heterochromatin assembly helicase...
1275,set2,-0.44956781199052576,0.00039966533189562134,SPAC29B12.02c,0.10726107912538581,histone lysine H3-K36 methyltransferase Set2,histone lysine H3-K36 methyltransferase Set2
675,cid1,-0.44901411916699996,0.00040713788559278434,SPAC19D5.03,0.10726107912538581,terminal uridylyltransferase Cid1,terminal uridylyltransferase Cid1
3213,dnt1,-0.4482758620689656,0.00041729873456066867,SPBC25D12.02c,0.10726107912538581,nucleolar protein Dnt1,nucleolar protein Dnt1
149,lcp1,0.4478452120951122,0.0004233317296792219,SPAC1296.05c,0.10726107912538581,cyclin L family cyclin,cyclin L family cyclin
6640,SPNCRNA.910,-0.4475991263957673,0.00042681461505824,SPNCRNA.910,0.10726107912538581,"intergenic RNA (predicted), possible alternativ...","intergenic RNA (predicted), possible alternativ..."
1698,cmb1,0.4467993478728968,0.0004383144698863181,SPAC4G9.11c,0.10726107912538581,mitochondrial cytosine-mismatch binding protein...,mitochondrial cytosine-mismatch binding protein...
4017,lip5,-0.44501522655264697,0.00046498820668949186,SPBC8D2.15,0.10726107912538581,mitochondrial lipoic acid synthetase Lip5,mitochondrial lipoic acid synthetase Lip5
1905,pqr1,-0.4446460980036298,0.0004706874912651467,SPAC6B12.07c,0.10726107912538581,ubiquitin-protein ligase E3 with SPX domain Pqr1,ubiquitin-protein ligase E3 with SPX domain Pqr1
